日期: 20260427
强势股总数: 241

序号  名称        代码      涨幅      换手      成交        量比      新高    趋势评分
---------------------------------------------------------------------------
1   迅游科技      300467    17.8% 13.16%    8.04亿   5.9   1    6.83
2   富瀚微       300613    13.9% 23.06%   31.51亿   5.5   1    5.82
3   飞南资源      301500    20.0% 28.23%   12.29亿   2.8   1    5.69
4   华兴源创      688001    20.0%  5.95%   14.78亿   1.9   1    5.24
5   帝奥微       688381    20.0% 10.09%    8.51亿   1.9   1    5.23
6   音飞储存      603066     2.2% 10.78%    3.63亿   8.6   1    5.07
7   杰创智能      301248    20.0% 13.65%   11.78亿   1.4   1    4.98
8   申昊科技      300853    15.9% 18.79%    5.46亿   2.6   1    4.80
9   中熔电气      301031    13.1% 11.27%   14.32亿   3.6   1    4.72
10  海泰新光      688677    20.0%  5.43%    7.56亿   0.7   1    4.63
11  欧莱新材      688530    20.0% 15.58%    4.84亿   0.6   1    4.62
12  富创精密      688409    16.0%  2.98%   10.44亿   2.1   1    4.54
13  东方材料      603110    10.0% 16.83%    6.51亿   4.3   1    4.46
14  逸豪新材      301176    14.8% 11.06%    5.82亿   2.3   1    4.39
15  方邦股份      688020    16.3% 13.39%   15.44亿   1.5   1    4.30
16  万顺新材      300057    13.8% 26.56%   17.25亿   1.9   1    3.99
17  水星家纺      603365    -0.5%  4.63%    2.75亿   7.0   1    3.89
18  鼎阳科技      688112    13.5%  4.56%    4.32亿   1.7   1    3.83
19  长川科技      300604    10.8%  8.91%   73.60亿   2.4   1    3.64
20  双枪科技      001211    10.0% 17.20%    4.32亿   2.7   1    3.64
21  恒申新材      000782     9.4% 14.79%    5.20亿   2.8   1    3.59
22  博世科       300422    -0.7% 16.08%    4.58亿   6.2   1    3.52
23  禾盛新材      002290     8.3% 13.88%   29.58亿   3.1   1    3.50
24  平安银行      000001     3.5%  1.75%   38.92亿   4.8   1    3.42
25  爱科赛博      688719    12.0%  7.11%    3.82亿   1.4   1    3.40
26  朗博科技      603655     9.0%  7.65%    4.08亿   2.6   1    3.39
27  综艺股份      600770    -0.1% 20.70%   19.75亿   6.1   1    3.39
28  德福科技      301511    12.0% 16.05%   39.60亿   1.3   1    3.35
29  韵达股份      002120    10.0%  4.48%   10.21亿   2.1   1    3.34
30  华蓝集团      301027     9.5% 15.53%    4.81亿   2.3   1    3.32
31  三达膜       688101     6.3%  3.89%    2.42亿   3.4   1    3.27
32  奥来德       688378    10.4%  6.14%    6.29亿   1.8   1    3.26
33  德龙激光      688170    10.9% 10.34%    6.67亿   1.5   1    3.24
34  常青科技      603125    10.0%  1.94%    1.68亿   1.9   1    3.24
35  西麦食品      002956     7.3%  2.29%    1.51亿   3.0   1    3.24
36  水发燃气      603318    10.0% 20.52%   11.69亿   1.9   1    3.23
37  泰慕士       001234   -10.0% 13.56%    4.39亿   1.8   1    3.22
38  东来技术      688129    10.2%  3.51%    1.22亿   1.7   1    3.16
39  永贵电器      300351    10.2% 15.36%    8.79亿   1.6   1    3.15
40  三全食品      002216     5.9%  4.06%    3.66亿   3.2   1    3.11
41  冠豪高新      600433    10.0%  8.83%    6.69亿   1.4   1    3.01
42  赛特新材      688398     8.9%  4.27%    2.20亿   1.9   1    3.01
43  摩尔线程-U    688795     8.0% 19.65%   39.63亿   2.2   1    3.01
44  深圳华强      000062    10.0% 10.29%   39.53亿   1.4   1    2.97
45  衢州发展      600208    -9.9%  5.02%   18.76亿   1.3   1    2.93
46  西藏珠峰      600338    10.0% 13.07%   29.08亿   1.2   1    2.92
47  共同药业      300966     4.7%  9.50%    1.70亿   3.3   1    2.92
48  浙商中拓      000906     1.3% 10.54%    4.63亿   4.7   1    2.91
49  怡达股份      300721     6.8% 32.88%   10.02亿   2.4   1    2.88
50  华电能源      600726    10.0%  7.65%   33.81亿   1.7   0    2.87
51  美新科技      301588     9.0% 24.99%    5.55亿   1.5   1    2.87
52  江海股份      002484    10.0%  5.74%   17.38亿   1.1   1    2.85
53  生益电子      688183     9.5%  3.08%   30.28亿   1.3   1    2.84
54  浙江恒威      301222     9.1%  9.26%    3.37亿   1.4   1    2.84
